固贰俊悸臂肺国府明,396690,1.0,1.0
捞胶鸥内,015020,0.0,0.0
脚茄辑何萍浚叼府明,404990,1.0,1.0
纳捞啪府明,145270,1.0,1.0
脚茄舅颇府明,293940,1.0,1.0
茄惫配瘤脚殴,034830,0.9,0.77
KB胶鸥府明,432320,1.0,1.0
捞瘤胶闺幅府明,334890,1.0,1.0
固贰俊悸甘胶府明,357250,1.0,1.0
茄惫磊魂脚殴,123890,1.0,1.0
NH棵盔府明,400760,1.0,1.0
SK叼矩叼,210980,1.0,1.0
捞瘤胶饭瘤带胶府明,350520,1.0,1.0
内恩内俊呈瘤府明,357120,1.0,1.0
俊捞府明,140910,1.0,1.0
吩单府明,330590,1.0,1.0
内恩内歹盔府明,417310,1.0,1.0
付胶畔橇府固绢府明,357430,1.0,1.0
SK府明,395400,1.0,1.0
捞府明内农肪,088260,1.0,1.0
叼矩叼敲阀汽府明,377190,1.0,1.0
NH橇扼烙府明,338100,1.0,1.0
力捞舅臂肺国府明,348950,1.0,1.0
葛滴捧绢府明,204210,1.0,1.0
ESR乃崔胶涅绢府明,365550,1.0,1.0
